,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
11222,"[-0.383491307982518, 39.48084950198524]","[-0.3512808207987167, 39.4581718144652]",3.7421029358146707,4117.9,439.7,4263.8,3069.9,4344.1,882.1
11223,"[-0.378774119231626, 39.45830828948901]","[-0.351562306826092, 39.4833368403396]",3.6333445570755543,4463.1,536.3,4331.0,3118.2,4806.7,1020.4
11224,"[-0.3416441921087302, 39.41837372512291]","[-0.3425002217147591, 39.47275601811959]",6.047481816171832,7587.3,516.3,8232.6,5927.4,7545.9,1635.1
11225,"[-0.3425200314953558, 39.42064414701622]","[-0.370610613242253, 39.48710922574142]",7.774149553678481,9441.6,791.6,9936.1,7153.9,9975.6,2123.0
11226,"[-0.368805181605489, 39.48801565554717]","[-0.3865872393736554, 39.47245201051461]",2.3074004487633504,3536.4,426.0,2756.0,1984.2,3416.3,717.6
11227,"[-0.4018299937450034, 39.49429048902321]","[-0.4275561429158696, 39.50285157564536]",2.4038887321211138,3846.4,360.4,3478.0,2504.1,3926.0,789.1
11228,"[-0.3228603291617569, 39.42632690368324]","[-0.335238013373598, 39.43135610178262]",1.2012127252623614,,,1578.1,1136.2,7060.7,1629.8
11229,"[-0.3876831782653309, 39.4937034808239]","[-0.3523315490144305, 39.48662205458344]",3.13415213993759,5517.1,485.5,3805.8,2740.2,4688.3,975.5
11230,"[-0.3356216860273666, 39.440383111083]","[-0.3884958972395017, 39.45707388855869]",4.904690960295338,8863.6,850.5,8732.3,6287.2,9417.5,2043.7
11231,"[-0.4007497335220352, 39.45224617249262]","[-0.354982159310517, 39.45733758615784]",3.9700186950401384,5241.4,551.6,5095.7,3668.9,6002.6,1200.5
11232,"[-0.3520513287746492, 39.48439143355733]","[-0.3582424832393267, 39.43603014947516]",5.403732527930683,7271.4,719.8,6932.9,4991.6,7435.9,1531.8
11233,"[-0.3858849860635443, 39.47744399202264]","[-0.368560200020858, 39.4801750111451]",1.5176254959361564,2508.2,329.9,2259.2,1626.6,3557.2,828.5
11234,"[-0.3580894845092149, 39.436334193646346]","[-0.3904660232418232, 39.43574641637577]",2.781253530692337,4168.2,328.1,3723.4,2680.8,5003.7,1142.4
11235,"[-0.3918713292601475, 39.46255577552136]","[-0.3944837618387268, 39.44938305635338]",1.4818124664543333,2309.0,225.3,1961.4,1412.2,2277.5,489.0
11236,"[-0.3732002526425734, 39.48893109459832]","[-0.3628205644518776, 39.495521439213405]",1.153400896258782,2017.0,266.8,1314.6,946.5,1589.9,344.2
11237,"[-0.37276092429869, 39.47818201230587]","[-0.4029204080814618, 39.4563553065621]",3.548654534966181,5946.2,628.8,4329.2,3117.0,5204.8,1047.2
11238,"[-0.393251864566264, 39.43556040801176]","[-0.3140241074094761, 39.352367882431466]",11.485832912030633,14593.5,1158.4,15126.0,10890.7,13548.6,2829.1
11239,"[-0.3821974955384853, 39.45850706950114]","[-0.3151218238859302, 39.456201865049714]",5.76437350235013,,,8701.5,6265.0,9543.7,2024.6
11240,"[-0.3833501577014537, 39.47255006584628]","[-0.3574930870821585, 39.45780346909056]",2.7596540284843925,3818.1,490.9,3194.9,2300.3,3417.4,710.5
11241,"[-0.4041133479880736, 39.48670873263029]","[-0.339604157114813, 39.47153123641132]",5.788101646882256,7295.8,749.2,7045.2,5072.4,7084.1,1448.6
11242,"[-0.3737396016425583, 39.45952278760252]","[-0.382417768522974, 39.48583610165732]",3.019236101739508,4850.7,562.2,3569.7,2570.1,4303.8,860.7
11243,"[-0.3048488394321599, 39.4407564008677]","[-0.3805678900006877, 39.49862081249985]",9.145702074655356,,,13132.6,9455.4,13248.7,2749.1
11244,"[-0.3514820900228882, 39.47013441622269]","[-0.4051775322200089, 39.47312584860548]",4.620975950320978,5784.4,621.1,5381.1,3874.3,6056.9,1222.7
11245,"[-0.4060676749090077, 39.494708091682085]","[-0.3351725849763897, 39.41083534876222]",11.13686562901903,17191.4,988.2,13785.6,9925.5,13841.2,2886.3
11246,"[-0.3658846263368619, 39.44774360753927]","[-0.3966984628943562, 39.46556289837252]",3.305247929943388,4199.8,431.3,4241.8,3054.0,4936.6,987.3
11247,"[-0.3950553509333133, 39.45732241290693]","[-0.3583093589167415, 39.45897669184658]",3.1600890771254595,4044.9,437.3,4021.2,2895.2,4747.6,969.3
11248,"[-0.3787328257664113, 39.49431597491096]","[-0.3873857101168262, 39.48985004550042]",0.8932631735971583,1292.6,146.5,1184.6,852.9,1310.1,269.0
11249,"[-0.3642394534625631, 39.46933872622172]","[-0.3714520752097084, 39.44338627663813]",2.9514715632774697,5787.0,571.2,3641.9,2622.1,3841.5,786.4
11250,"[-0.3458038438396372, 39.47852475548369]","[-0.3888623881668012, 39.46959195924349]",3.826982205406724,5336.7,607.2,4790.8,3449.3,5626.2,1128.5
11251,"[-0.3330700807722432, 39.46738569196084]","[-0.4082025907314831, 39.47468921968231]",6.5000424236958905,8502.9,944.9,7703.4,5546.4,7914.8,1672.2
11252,"[-0.3584150628230784, 39.45229903880995]","[-0.3527679716760848, 39.44833384553088]",0.6553630509378487,1508.3,183.1,941.8,678.1,938.8,200.1
11253,"[-0.3787075268119862, 39.5255291137164]","[-0.3367116545932051, 39.48131208437221]",6.095601260690028,8627.2,1007.3,7946.9,5721.7,8615.8,1767.4
11254,"[-0.375541203811355, 39.44200619919334]","[-0.3366535990423482, 39.47097524152348]",4.639281545436423,6779.8,841.2,5695.7,4100.8,6430.4,1355.4
11255,"[-0.3675457638640493, 39.47745374428042]","[-0.3896115482841057, 39.466356800521545]",2.260509055837818,5048.2,541.8,3035.0,2185.1,3709.5,741.9
11256,"[-0.3492249552539259, 39.47316582862511]","[-0.364856136820287, 39.47013840378839]",1.3832998425559422,1692.9,172.1,1879.9,1353.5,1641.0,332.1
11257,"[-0.3578426914595537, 39.47685217766675]","[-0.3480615906179424, 39.473111238008784]",0.9369315243269332,1460.7,190.1,1128.0,812.1,1137.8,248.5
11258,"[-0.3429019037347335, 39.48273401974514]","[-0.3986179872850441, 39.48914401462119]",4.8342807436515995,7021.5,733.8,6061.2,4364.0,6265.3,1280.0
11259,"[-0.4011964971308943, 39.48955449146953]","[-0.3808951332217636, 39.48132553743178]",1.967904232029424,3611.0,341.4,2679.7,1929.4,2602.5,530.3
11260,"[-0.3619881452202986, 39.46872131303444]","[-0.3500833453924437, 39.468735856131566]",1.0219013091549243,1488.1,136.1,1425.2,1026.1,1537.1,311.7
11261,"[-0.3838708920672156, 39.47576104472448]","[-0.3615356027870074, 39.48274910592526]",2.0684553084856336,3033.9,300.8,2696.1,1941.1,3026.8,625.6
11262,"[-0.390188770814557, 39.45289763477705]","[-0.3907824199980349, 39.4558083622666]",0.32764679337408154,459.1,67.7,447.1,321.9,487.7,97.5
11263,"[-0.3359168280227584, 39.43647583600889]","[-0.421306739146511, 39.43808754446339]",7.335313479527439,11856.8,910.4,10804.5,7779.2,13136.6,2755.5
11264,"[-0.3794803798034198, 39.44917551458378]","[-0.3169223189827511, 39.35463428660568]",11.80696355518365,15763.6,1084.7,15714.2,11314.2,16107.7,3382.3
11265,"[-0.3080865332400794, 39.334680711988696]","[-0.3838252300903217, 39.50807650377269]",20.348752374144485,,,23532.8,16943.5,23849.0,4964.6
11266,"[-0.4050890025165309, 39.46945816816065]","[-0.3840108013672413, 39.46549568495349]",1.8622458284428,1927.3,161.1,2136.9,1538.6,2743.9,548.8
11267,"[-0.3775988799467217, 39.45820791850387]","[-0.3517976889734437, 39.45708927854316]",2.2185992033178916,2719.1,283.6,2666.5,1919.8,2876.7,680.3
11268,"[-0.3331873571858048, 39.471475824164784]","[-0.3976755417599379, 39.49844182842469]",6.294419516383979,8349.1,748.6,7498.7,5399.0,7726.1,1631.6
11269,"[-0.3369630507383336, 39.46371554898594]","[-0.3348367277954034, 39.433181945694045]",3.4000872124316865,,,4149.7,2987.8,4238.7,920.6
11270,"[-0.363257785424482, 39.43014736133591]","[-0.369689148674257, 39.43440354287224]",0.7273749790126727,3544.1,405.4,876.8,631.3,876.8,175.4
11271,"[-0.3611623547642871, 39.47462564964207]","[-0.4261378280589664, 39.50003646242824]",6.2510059566309355,9357.7,826.7,7664.7,5518.5,8007.2,1640.1
11272,"[-0.3256158141112772, 39.43083301684446]","[-0.3865413154507871, 39.47801801030156]",7.408797809019088,,,11907.1,8573.0,12485.0,2731.4
11273,"[-0.3341025041572723, 39.43790479365829]","[-0.3290674183753203, 39.47072472774846]",3.6749253058150733,,,4271.9,3075.7,4466.6,961.9
11274,"[-0.3593914838350098, 39.4818047279751]","[-0.3929742500650476, 39.47814963502329]",2.910770241006202,3542.6,390.2,3787.1,2726.7,4026.0,824.3
11275,"[-0.3184267269343369, 39.33936759607709]","[-0.3842945549497945, 39.44579401036807]",13.118063537308613,16115.0,967.6,18030.6,12982.0,18792.5,4057.4
11276,"[-0.4077057585961677, 39.45262009088162]","[-0.368868643927796, 39.51098109805757]",7.295385984270652,13231.2,821.4,9242.7,6654.7,9109.0,1843.2
11277,"[-0.32972628767931, 39.45531683082275]","[-0.4001689236711908, 39.44294045586752]",6.203036550787382,12291.1,981.0,8040.8,5789.3,8180.1,1639.9
11278,"[-0.4141405733070462, 39.47019265558544]","[-0.395960845760768, 39.465171339994406]",1.6574358477554525,2612.9,264.4,2109.6,1518.9,2252.9,467.6
11279,"[-0.3621417572735049, 39.48222404140163]","[-0.4042358999746049, 39.47258330559119]",3.7685680519710507,5028.4,575.7,4339.3,3124.2,4681.5,955.1
11280,"[-0.3977547272841719, 39.49662708636831]","[-0.3326679645926463, 39.47995591824923]",5.885018756110856,8637.7,791.0,7021.1,5055.1,7057.4,1411.4
11281,"[-0.332659649456033, 39.45005811787472]","[-0.3750841355046426, 39.491832173716624]",5.902344098070964,7653.3,845.0,7458.1,5369.8,7358.8,1471.7
11282,"[-0.3213387932609305, 39.43950380906096]","[-0.4020422393441745, 39.4748479479462]",7.965688513504564,,,9798.9,7055.1,9872.0,2024.3
11283,"[-0.3570774480218197, 39.45860174692062]","[-0.3202162282723385, 39.337620222112974]",13.820373122094828,14833.9,904.5,16500.9,11880.6,17677.2,3842.3
11284,"[-0.2789492948249155, 39.27998159756614]","[-0.3533958605253824, 39.45926462455853]",20.93735061190438,22033.5,1343.9,24512.1,17648.7,24369.7,5308.7
11285,"[-0.3179877094926777, 39.45866116487932]","[-0.3117359241393483, 39.46183994755177]",0.6426504083377823,,,4237.5,3051.0,5514.0,1171.5
11286,"[-0.3736503358773716, 39.450316612346185]","[-0.3554479599653554, 39.43045136434308]",2.706036989666895,4114.7,420.3,4178.9,3008.8,4500.8,933.7
11287,"[-0.3702955129428683, 39.45840805497984]","[-0.3665827888779105, 39.4814918485864]",2.586509366647683,4310.3,549.6,3129.2,2253.0,3716.3,779.8
11288,"[-0.3818367512627654, 39.48092298000892]","[-0.3468863507543023, 39.39689707308056]",9.813502318758642,12116.4,1185.7,12807.9,9221.6,12926.5,3058.8
11289,"[-0.3618464359084948, 39.42370165979114]","[-0.3807700403852794, 39.48067964309497]",6.540681641329921,9205.1,894.2,9620.0,6926.3,8755.8,1837.9
11290,"[-0.3972087835894771, 39.46767706442819]","[-0.4073782330039311, 39.46578033436372]",0.8980798758375612,1790.9,185.5,1286.3,926.1,1546.4,361.2
11291,"[-0.3439948780536126, 39.44844818121242]","[-0.3921530851195888, 39.47825118977285]",5.298464598299168,5833.9,732.4,6007.8,4325.5,7089.0,1417.9
11292,"[-0.3483160875504755, 39.4492699543986]","[-0.3978570456329469, 39.47600828355868]",5.189139792478535,14045.5,818.7,6203.2,4466.2,7364.2,1514.4
11293,"[-0.4229773313144583, 39.49740133736861]","[-0.3807588758731053, 39.50397890622784]",3.6954393652124042,7172.2,552.5,5344.3,3847.8,6379.1,1300.6
11294,"[-0.3508206392117246, 39.438794109430745]","[-0.3795730442360509, 39.47398266613539]",4.626395107980685,7238.9,761.1,6047.1,4353.9,6177.0,1255.6
11295,"[-0.3652698386366415, 39.471586796029904]","[-0.3617057071819355, 39.48855268430846]",1.911159531080405,2585.5,300.4,2299.7,1655.8,2554.5,529.7
11296,"[-0.3761990700924955, 39.46924239054151]","[-0.3368625563544236, 39.4850989682103]",3.808880039827571,4929.7,689.8,4762.2,3428.7,4999.7,1034.1
11297,"[-0.3382328920412751, 39.45885001356429]","[-0.3828960927831478, 39.45620739955216]",3.845718722597151,5114.7,531.0,5033.4,3624.0,4755.8,1073.9
11298,"[-0.3928414546140403, 39.49879102731968]","[-0.4115835488418594, 39.46734007545484]",3.849351998793097,5041.2,538.3,5206.2,3748.4,5763.6,1222.4
11299,"[-0.3802694789339662, 39.47468452741229]","[-0.3653557551376467, 39.46561814114894]",1.629460850532708,4279.1,461.2,2021.6,1455.5,2588.5,569.4
11300,"[-0.3458892951727099, 39.45979685511492]","[-0.4240699356993013, 39.50279780758253]",8.239145191470579,15206.7,1059.9,9591.0,6905.4,10102.4,2043.5
11301,"[-0.3654834155582523, 39.49072560360631]","[-0.3257024412413101, 39.48090057674924]",3.5844781240295225,6437.3,585.1,4558.2,3281.8,4978.1,995.6
11302,"[-0.3523889683533587, 39.42707581217242]","[-0.3839021446200754, 39.47038971805604]",5.524330172651922,7536.9,804.3,7261.1,5227.9,7019.8,1416.7
11303,"[-0.3359012946011364, 39.4643029703098]","[-0.3360943321108615, 39.46280576047053]",0.1673048566544701,779.1,115.1,312.7,225.1,477.8,95.6
11304,"[-0.3819753452125157, 39.472492902068126]","[-0.3955137459226567, 39.49445978944333]",2.704864750321734,3461.2,405.1,3100.6,2232.4,3064.0,627.9
11305,"[-0.3845397275654225, 39.45650268617193]","[-0.4018673908636074, 39.473823225957176]",2.4334908326551803,3641.4,425.6,3122.9,2248.5,3828.9,777.5
