,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
11139,"[25.032429783472384, 60.23345299147145]","[24.933311656041436, 60.24376470647424]",5.589782268407224,10504.1,1077.8,6545.2,4712.5,6735.0,1346.9
11140,"[24.87760905398933, 60.23717917228098]","[24.941105673370927, 60.19213519999659]",6.114569499787481,9078.8,1197.7,7018.3,5053.1,7828.6,1695.5
11141,"[24.917009692123475, 60.173194826497685]","[25.064494053893288, 60.26639607311981]",13.181296624040302,17239.5,2049.2,15186.9,10934.3,16276.6,3281.7
11142,"[24.864071586845224, 60.22048124277204]","[24.97505146579656, 60.220685777764366]",6.129051244483022,8694.8,1396.0,7400.8,5328.5,7733.3,1567.0
11143,"[25.11859849274956, 60.22594813716837]","[25.055485159412125, 60.20884737495199]",3.9707628354190896,4334.8,556.8,4548.2,3274.6,4398.6,879.7
11144,"[24.88345613989837, 60.25778793597465]","[24.889874063792917, 60.20584769515144]",5.786349429391326,7318.5,871.5,6769.9,4874.2,6957.5,1420.2
11145,"[24.85108369677003, 60.23620707253975]","[24.96547428208119, 60.196688578626585]",7.6960183850376875,11414.6,1515.4,8831.0,6358.2,8853.6,1817.2
11146,"[24.92429403501148, 60.26156882594296]","[24.882778962217284, 60.1597319822382]",11.553651054255752,,,14001.4,10080.8,16635.4,3680.7
11147,"[24.916135933206487, 60.150108812452]","[24.93009313475224, 60.2413353579035]",10.173216611425772,12460.3,1755.9,11085.4,7981.2,13269.8,2851.3
11148,"[25.00983865800379, 60.255388179814624]","[25.025435990855662, 60.20533353099345]",5.632044369809503,11956.8,1918.7,6869.6,4946.0,7545.6,1747.8
11149,"[25.118689359461985, 60.23477623181692]","[25.171504229944013, 60.25392391213125]",3.6094863472389744,5353.2,729.2,4632.1,3335.1,4563.4,975.2
11150,"[24.881097060265983, 60.225741739645166]","[25.11017601293335, 60.2023513684201]",12.918234940219996,16577.6,1780.8,16126.0,11610.6,17463.2,3533.3
11151,"[25.102916558627832, 60.21863845530094]","[24.927837855464, 60.16450279833968]",11.396916985630188,12854.5,1733.0,13369.5,9625.8,14643.1,2968.8
11152,"[24.99328779978583, 60.18096947434864]","[25.196653083650343, 60.21797465347772]",11.967947428792698,,,15016.6,10738.5,15368.5,3141.6
11153,"[25.122040404512727, 60.232557318703975]","[25.19094576040242, 60.25875693156194]",4.790192570254719,6043.1,916.8,5868.2,4225.1,5927.5,1272.7
11154,"[24.965607113313038, 60.18509821465385]","[24.856920368408574, 60.24313097673754]",8.813804664327536,11107.8,1515.1,9964.5,7174.3,10279.0,2070.2
11155,"[24.964808472644812, 60.19149025229887]","[25.123696822079435, 60.220542446306105]",9.35423213783806,11375.2,1240.2,11144.5,8023.9,11490.9,2390.2
11156,"[25.064892626968764, 60.20602560741536]","[24.923708431490883, 60.26111136553572]",9.912873096456726,,,12416.2,8939.5,12475.4,2607.2
11157,"[25.132648398654364, 60.21267149528323]","[24.90168093614519, 60.25311192309377]",13.520387698536567,18776.7,2046.6,15988.7,11511.7,16814.3,3423.1
11158,"[25.036573152859003, 60.17402594633075]","[24.900342080886755, 60.24167200008494]",10.640793902828772,20165.0,2019.6,15021.1,10814.9,16422.1,3431.6
11159,"[25.17342401193081, 60.19568931361083]","[24.935405777207823, 60.17690535374552]",13.323344371009863,18605.3,2467.4,16937.9,12195.0,17641.9,3633.2
11160,"[25.016258856781807, 60.27492538769023]","[24.94949191175471, 60.18224142485142]",10.945447265745083,18457.9,1726.6,12692.5,9138.4,13179.8,2707.1
11161,"[25.035977761844755, 60.25718962382683]","[25.04545946992549, 60.26677713918373]",1.187450866032345,3402.5,479.1,1466.7,1056.0,1495.9,323.6
