,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
10919,"[2.1459209900479728, 41.4304820332149]","[2.194357507308066, 41.44808197746405]",4.486866225816833,7616.0,772.0,5482.9,3947.6,5349.4,1163.0
10920,"[2.134030249949887, 41.3699874508598]","[2.181082372603746, 41.382551945748574]",4.167162513235537,5438.8,805.8,4657.7,3353.4,5134.8,1071.8
10921,"[2.1567964583986785, 41.41126798598771]","[2.156454859768585, 41.333695902938345]",8.625669181975955,,,,,,
10922,"[2.1656547066076053, 41.39136300211713]","[2.143902327298772, 41.36390027730283]",3.552358942579309,4806.7,616.4,4068.8,2929.5,4530.6,933.7
10923,"[2.157798402932801, 41.38851594421368]","[2.1814910233067315, 41.42601439828319]",4.614135040890148,5424.3,581.6,5356.1,3856.3,5475.9,1108.6
10924,"[2.1804865275379, 41.41503940846963]","[2.21006789100608, 41.41720158268394]",2.478415238540281,4027.5,469.0,3303.9,2378.8,3500.2,707.4
10925,"[2.175005432655936, 41.39641845977029]","[2.185834800470397, 41.40140301717606]",1.0597691384165318,1486.5,237.7,1277.1,919.5,1551.9,310.4
10926,"[2.1373154154595837, 41.44287098370737]","[2.1704960411278247, 41.422346991367306]",3.5860709578736083,8974.9,1096.0,5572.3,4012.0,6376.1,1366.6
10927,"[2.120447976412295, 41.42497017970134]","[2.105523925085265, 41.38919183436879]",4.16852546077301,7767.1,895.8,5631.8,4054.8,6964.0,1552.3
10928,"[2.190929944381985, 41.41227341889454]","[2.1179585975647472, 41.39888692936282]",6.265299222049025,7560.3,846.0,7550.5,5436.2,7656.7,1587.4
10929,"[2.132272971999336, 41.381370473753584]","[2.1262573349760108, 41.42141484101549]",4.48091023350406,7962.0,941.9,5817.5,4188.5,6790.7,1490.4
10930,"[2.2007013097384305, 41.426354187427016]","[2.189943868442133, 41.40562539653212]",2.4733409741345618,3546.9,394.1,2986.5,2150.2,3258.2,659.1
10931,"[2.146726988599491, 41.38246700316435]","[2.1946260365638057, 41.41645847913403]",5.499798437672971,6820.3,730.6,5911.6,4256.3,5643.3,1165.4
10932,"[2.157379189700867, 41.42375221161783]","[2.1031275640961127, 41.384419072627374]",6.293033223759989,7558.7,819.2,7058.7,5082.2,6960.6,1405.1
